Country,Clicks,Impressions,CTR,Position
United Kingdom,1,68,1.47%,20.04
Australia,1,50,2%,27.4
United States,0,448,0%,18.58
India,0,61,0%,12.95
South Korea,0,49,0%,7.88
Russia,0,37,0%,9.43
Canada,0,26,0%,35.23
Philippines,0,25,0%,9.84
Spain,0,18,0%,55.22
Ireland,0,16,0%,33.12
Indonesia,0,14,0%,17.43
New Zealand,0,12,0%,12.58
Singapore,0,11,0%,22
Brazil,0,9,0%,7.11
Mexico,0,9,0%,8.11
Japan,0,7,0%,7
Netherlands,0,7,0%,17.43
Pakistan,0,6,0%,10.5
South Africa,0,6,0%,12
Turkey,0,5,0%,9
Malaysia,0,5,0%,9.4
Bangladesh,0,5,0%,9.8
Iran,0,4,0%,8.75
Kenya,0,3,0%,7.67
Hong Kong,0,3,0%,8.67
Thailand,0,3,0%,9
Vietnam,0,3,0%,9
Saudi Arabia,0,3,0%,10.33
Egypt,0,3,0%,23.67
Germany,0,3,0%,27.67
Poland,0,2,0%,6
Croatia,0,2,0%,8
Sri Lanka,0,2,0%,8
Taiwan,0,2,0%,8
United Arab Emirates,0,2,0%,10
Belgium,0,2,0%,10
Nepal,0,2,0%,10
Italy,0,2,0%,20
Israel,0,2,0%,23
China,0,1,0%,3
Zambia,0,1,0%,6
Lithuania,0,1,0%,7
Mongolia,0,1,0%,7
Serbia,0,1,0%,7
Ukraine,0,1,0%,7
Venezuela,0,1,0%,7
Austria,0,1,0%,8
Lebanon,0,1,0%,8
Switzerland,0,1,0%,9
Colombia,0,1,0%,9
Kazakhstan,0,1,0%,9
Kuwait,0,1,0%,9
Myanmar (Burma),0,1,0%,9
Sweden,0,1,0%,9
Armenia,0,1,0%,10
Montenegro,0,1,0%,10
Puerto Rico,0,1,0%,10
Romania,0,1,0%,10
Tunisia,0,1,0%,10
Samoa,0,1,0%,10
Brunei,0,1,0%,11
Greece,0,1,0%,11
Jamaica,0,1,0%,11
Trinidad & Tobago,0,1,0%,12
Denmark,0,1,0%,54
Guatemala,0,1,0%,69